id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
2434,EGLL,large_airport,"London Heathrow Airport",51.4706001282,-0.461941003799,83,EU,GB,GB-ENG,London,yes,EGLL,LHR,,http://www.heathrowairport.com/,http://en.wikipedia.org/wiki/London_Heathrow_Airport,"LON, Londres"
27145,YSSY,large_airport,"Sydney Kingsford Smith International Airport",-33.9460983276367,151.177001953125,21,OC,AU,AU-NSW,Sydney,yes,YSSY,SYD,,http://www.sydneyairport.com.au/,http://en.wikipedia.org/wiki/Kingsford_Smith_International_Airport,"RAAF Station Mascot"
3622,KJFK,large_airport,"John F Kennedy International Airport",40.63980103,-73.77890015,13,NA,US,US-NY,"New York",yes,KJFK,JFK,JFK,http://www.panynj.gov/CommutingTravel/airports/html/kennedy.html,http://en.wikipedia.org/wiki/John_F._Kennedy_International_Airport,"Manhattan, New York City, NYC, Idlewild"
5627,RJTT,large_airport,"Tokyo International Airport",35.5522994995117,139.779998779297,35,AS,JP,JP-13,Tokyo,yes,RJTT,HND,,http://www.tokyo-airport-bldg.co.jp/,http://en.wikipedia.org/wiki/Tokyo_International_Airport,"TYO, Haneda"
4185,LFPG,large_airport,"Charles de Gaulle International Airport",49.0127983093,2.54999995232,392,EU,FR,FR-J,Paris,yes,LFPG,CDG,,http://www.aeroportsdeparis.fr/,http://en.wikipedia.org/wiki/Charles_de_Gaulle_International_Airport,"PAR, A̩roport Roissy-Charles de Gaulle, Roissy Airport"
